support,itemset,GROUP_1,GROUP_2,HealthInsuranceCoverageRecode,HealthInsuranceCoverageRecode_group1,HealthInsuranceCoverageRecode_group2,HealthInsuranceCoverageRecode_div,length,support_count,condition
0.28356,"frozenset({'RelatedChild=no', 'WithADisability=no', 'CitizenshipStatus=Born in the U.S.', 'MaritalStatus=Married'})",8043,14178,0.9301029764423755,0.9058808902150939,0.9301029764423755,0.024222086227281614,4,14178.0,True
0.28152,"frozenset({'RelatedChild=no', 'Sex=Woman'})",4452,14076,0.8832764990053993,0.7841419586702606,0.8832764990053993,0.09913454033513869,2,14076.0,True
0.27826,"frozenset({'CitizenshipStatus=Born in the U.S.', 'MaritalStatus=Never Married', 'Nativity=yes', 'WithADisability=no'})",5698,13913,0.855171422410695,0.7653562653562653,0.855171422410695,0.08981515705442966,4,13913.0,True
0.27826,"frozenset({'CitizenshipStatus=Born in the U.S.', 'MaritalStatus=Never Married', 'WithADisability=no'})",5698,13913,0.855171422410695,0.7653562653562653,0.855171422410695,0.08981515705442966,3,13913.0,True
0.26982,"frozenset({'Region=South', 'RaceEthnicity=White alone'})",7500,13491,0.7685864650507745,0.6685333333333333,0.7685864650507745,0.10005313171744123,2,13491.0,True
0.26412,"frozenset({'Sex=Man', 'RaceEthnicity=White alone', 'MaritalStatus=Married'})",9679,13206,0.885355141602302,0.85608017357165,0.885355141602302,0.029274968030651993,3,13206.0,True
0.26136,frozenset({'StateCode=California'}),6890,13068,0.8796296296296297,0.820899854862119,0.8796296296296297,0.05872977476751062,1,13068.0,True
0.26136,frozenset({'Region=West'}),6890,13068,0.8796296296296297,0.820899854862119,0.8796296296296297,0.05872977476751062,1,13068.0,True
0.26136,"frozenset({'RelatedChild=no', 'Sex=Man', 'RaceEthnicity=White alone', 'MaritalStatus=Married'})",9578,13068,0.8888123660850934,0.86030486531635,0.8888123660850934,0.02850750076874342,4,13068.0,True
0.26136,"frozenset({'Region=West', 'StateCode=California'})",6890,13068,0.8796296296296297,0.820899854862119,0.8796296296296297,0.05872977476751062,2,13068.0,True
0.26078,"frozenset({'WithADisability=no', 'RaceEthnicity=White alone', 'Nativity=yes', 'MaritalStatus=Married'})",7437,13039,0.9302860648822763,0.9052037111738604,0.9302860648822763,0.025082353708415828,4,13039.0,True
0.26056,"frozenset({'Sex=Woman', 'Nativity=yes'})",2602,13028,0.9247774025176543,0.8466564181398923,0.9247774025176543,0.07812098437776194,2,13028.0,True
0.25954,"frozenset({'RelatedChild=no', 'WithADisability=no', 'RaceEthnicity=White alone', 'Nativity=yes', 'MaritalStatus=Married'})",7393,12977,0.9319565384911767,0.9074800486947112,0.9319565384911767,0.02447648979646544,5,12977.0,True
0.259,"frozenset({'Region=South', 'Nativity=yes'})",6485,12950,0.8115057915057915,0.7264456437933693,0.8115057915057915,0.08506014771242221,2,12950.0,True
0.25694,"frozenset({'RaceEthnicity=White alone', 'MaritalStatus=Never Married'})",5859,12847,0.8230715342103214,0.7171872333162655,0.8230715342103214,0.10588430089405587,2,12847.0,True
0.25576,"frozenset({'WithADisability=no', 'RaceEthnicity=White alone', 'CitizenshipStatus=Born in the U.S.', 'MaritalStatus=Married'})",7292,12788,0.9316546762589928,0.9072956664838179,0.9316546762589928,0.02435900977517491,4,12788.0,True
0.25576,"frozenset({'WithADisability=no', 'RaceEthnicity=White alone', 'Nativity=yes', 'MaritalStatus=Married', 'CitizenshipStatus=Born in the U.S.'})",7292,12788,0.9316546762589928,0.9072956664838179,0.9316546762589928,0.02435900977517491,5,12788.0,True
0.25466,"frozenset({'Sex=Woman', 'CitizenshipStatus=Born in the U.S.', 'Nativity=yes'})",2523,12733,0.9257048613838058,0.8474038842647642,0.9257048613838058,0.0783009771190416,3,12733.0,True
0.25466,"frozenset({'Sex=Woman', 'CitizenshipStatus=Born in the U.S.'})",2523,12733,0.9257048613838058,0.8474038842647642,0.9257048613838058,0.0783009771190416,2,12733.0,True
0.25452,"frozenset({'RelatedChild=no', 'WithADisability=no', 'RaceEthnicity=White alone', 'Nativity=yes', 'MaritalStatus=Married', 'CitizenshipStatus=Born in the U.S.'})",7248,12726,0.9333647650479334,0.9096302428256071,0.9333647650479334,0.023734522222326304,6,12726.0,True
0.25452,"frozenset({'RelatedChild=no', 'WithADisability=no', 'RaceEthnicity=White alone', 'MaritalStatus=Married', 'CitizenshipStatus=Born in the U.S.'})",7248,12726,0.9333647650479334,0.9096302428256071,0.9333647650479334,0.023734522222326304,5,12726.0,True
0.25238,"frozenset({'RelatedChild=no', 'Region=South', 'WithADisability=no'})",7963,12619,0.7441160155321341,0.6672108501820921,0.7441160155321341,0.07690516535004199,3,12619.0,True
0.2513,frozenset({'Age=34.00-50.00'}),8346,12565,0.7845602865101472,0.7310088665228852,0.7845602865101472,0.05355141998726198,1,12565.0,True
0.2509,"frozenset({'Region=South', 'CitizenshipStatus=Born in the U.S.'})",6260,12545,0.8124352331606217,0.7277955271565495,0.8124352331606217,0.08463970600407222,2,12545.0,True
